State,PercentHighSchoolOrHigher,PercentBachelorsOrHigher
Alabama,86,26
Alaska,93,30
Arizona,87,30
Arkansas,87,23
California,83,34
Colorado,92,41
Connecticut,91,39
Delaware,90,32
Florida,88,30
Georgia,87,31
Hawaii,92,33
Idaho,91,28
Illinois,89,35
Indiana,89,27
Iowa,92,29
Kansas,91,33
Kentucky,86,24
Louisiana,85,24
Maine,93,32
Maryland,90,40
Massachusetts,91,44
Michigan,91,29
Minnesota,93,36
Mississippi,85,22
Missouri,90,29
Montana,94,32
Nebraska,91,32
Nevada,87,25
New Hampshire,93,37
New Jersey,90,40
New Mexico,86,27
New York,87,37
North Carolina,88,31
North Dakota,93,30
Ohio,90,28
Oklahoma,88,26
Oregon,91,34
Pennsylvania,91,31
Rhode Island,89,34
South Carolina,88,28
South Dakota,92,29
Tennessee,88,27
Texas,84,30
Utah,92,34
Vermont,93,38
Virginia,90,39
Washington,91,36
West Virginia,87,21
Wisconsin,92,30
Wyoming,93,27
